year,city,country,avg_temp
1750,Virginia Beach,United States,16.07
1751,Virginia Beach,United States,16.57
1752,Virginia Beach,United States,10.61
1753,Virginia Beach,United States,15.66
1754,Virginia Beach,United States,16.09
1755,Virginia Beach,United States,13.41
1756,Virginia Beach,United States,16.39
1757,Virginia Beach,United States,15.19
1758,Virginia Beach,United States,14.23
1759,Virginia Beach,United States,15.18
1760,Virginia Beach,United States,14.02
1761,Virginia Beach,United States,16.17
1762,Virginia Beach,United States,15.55
1763,Virginia Beach,United States,13.62
1764,Virginia Beach,United States,16.02
1765,Virginia Beach,United States,15.39
1766,Virginia Beach,United States,16.17
1767,Virginia Beach,United States,14.99
1768,Virginia Beach,United States,14.63
1769,Virginia Beach,United States,15.3
1770,Virginia Beach,United States,15.19
1771,Virginia Beach,United States,16.29
1772,Virginia Beach,United States,15.84
1773,Virginia Beach,United States,16.12
1774,Virginia Beach,United States,15.83
1775,Virginia Beach,United States,16.41
1776,Virginia Beach,United States,15.52
1777,Virginia Beach,United States,15.03
1778,Virginia Beach,United States,13.63
1779,Virginia Beach,United States,8.76
1780,Virginia Beach,United States,
1781,Virginia Beach,United States,15.85
1782,Virginia Beach,United States,15.31
1783,Virginia Beach,United States,15.01
1784,Virginia Beach,United States,14.79
1785,Virginia Beach,United States,14.73
1786,Virginia Beach,United States,15.25
1787,Virginia Beach,United States,15.26
1788,Virginia Beach,United States,15.91
1789,Virginia Beach,United States,15.61
1790,Virginia Beach,United States,15.54
1791,Virginia Beach,United States,15.63
1792,Virginia Beach,United States,15.05
1793,Virginia Beach,United States,15.92
1794,Virginia Beach,United States,15.95
1795,Virginia Beach,United States,15.5
1796,Virginia Beach,United States,15.25
1797,Virginia Beach,United States,15.22
1798,Virginia Beach,United States,16.06
1799,Virginia Beach,United States,15.62
1800,Virginia Beach,United States,15.65
1801,Virginia Beach,United States,16.04
1802,Virginia Beach,United States,16.32
1803,Virginia Beach,United States,16.18
1804,Virginia Beach,United States,15.95
1805,Virginia Beach,United States,16.4
1806,Virginia Beach,United States,15.61
1807,Virginia Beach,United States,15.4
1808,Virginia Beach,United States,15.57
1809,Virginia Beach,United States,14.82
1810,Virginia Beach,United States,15.16
1811,Virginia Beach,United States,15.28
1812,Virginia Beach,United States,14.06
1813,Virginia Beach,United States,15.07
1814,Virginia Beach,United States,14.81
1815,Virginia Beach,United States,14.51
1816,Virginia Beach,United States,14.16
1817,Virginia Beach,United States,14.07
1818,Virginia Beach,United States,14.5
1819,Virginia Beach,United States,15.09
1820,Virginia Beach,United States,15.12
1821,Virginia Beach,United States,14.66
1822,Virginia Beach,United States,15.99
1823,Virginia Beach,United States,15.11
1824,Virginia Beach,United States,15.81
1825,Virginia Beach,United States,16.25
1826,Virginia Beach,United States,16.1
1827,Virginia Beach,United States,16.02
1828,Virginia Beach,United States,17.38
1829,Virginia Beach,United States,15.4
1830,Virginia Beach,United States,16.85
1831,Virginia Beach,United States,15.13
1832,Virginia Beach,United States,15.51
1833,Virginia Beach,United States,15.62
1834,Virginia Beach,United States,15.97
1835,Virginia Beach,United States,15.36
1836,Virginia Beach,United States,14.42
